Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1729638000000,67724.00000000,67773.94000000,67545.00000000,67559.99000000,170.20933000,1729639799999,11513205.61874590,25813,60.87106000,4116816.02714770,0
1729639800000,67559.99000000,67560.00000000,67292.00000000,67426.00000000,189.37171000,1729641599999,12769720.97665450,36286,78.95955000,5323627.38935200,0
1729641600000,67426.01000000,67472.83000000,67138.15000000,67263.98000000,370.69159000,1729643399999,24933853.24813880,80257,158.43110000,10657930.26892720,0
1729643400000,67263.98000000,67272.73000000,67130.43000000,67179.13000000,207.17286000,1729645199999,13922802.70115570,49730,100.60511000,6760459.51064380,0
1729645200000,67179.13000000,67354.88000000,67179.13000000,67306.91000000,240.77827000,1729646999999,16196429.99861740,35761,138.27178000,9300875.94279860,0
1729647000000,67306.91000000,67386.94000000,67242.37000000,67348.46000000,152.78158000,1729648799999,10286853.42468500,35948,57.41971000,3866066.27492840,0
1729648800000,67348.46000000,67386.93000000,67070.49000000,67087.45000000,307.65250000,1729650599999,20682226.59598630,52058,92.28406000,6207011.45654920,0
1729650600000,67087.46000000,67214.00000000,67068.28000000,67096.00000000,273.71423000,1729652399999,18380740.66971430,42399,108.33650000,7275222.49992210,0
1729652400000,67095.99000000,67180.92000000,66890.00000000,66954.62000000,445.17579000,1729654199999,29831829.86252590,70295,168.10216000,11264572.44393570,0
1729654200000,66954.62000000,67106.90000000,66909.50000000,67082.10000000,194.08299000,1729655999999,13006579.25075800,41353,112.26582000,7523168.83834950,0
1729656000000,67082.10000000,67160.02000000,66999.99000000,67089.99000000,259.93902000,1729657799999,17439498.29927880,32716,113.07385000,7588052.10291250,0
1729657800000,67089.99000000,67249.84000000,67060.00000000,67217.48000000,255.44877000,1729659599999,17159464.08377690,32612,173.60590000,11661712.92866820,0
1729659600000,67217.48000000,67227.59000000,67106.63000000,67132.77000000,134.35846000,1729661399999,9025173.24612540,38047,55.58364000,3733741.69829460,0
1729661400000,67132.76000000,67179.00000000,67042.44000000,67087.06000000,210.55900000,1729663199999,14126454.46634720,37400,66.04317000,4431455.57653160,0
1729663200000,67087.06000000,67289.34000000,67060.60000000,67281.31000000,292.55250000,1729664999999,19655360.77911910,32527,211.40512000,14203983.74839340,0
1729665000000,67281.32000000,67302.83000000,66904.18000000,66917.55000000,441.83489000,1729666799999,29632231.25278860,46487,152.17591000,10204782.61079570,0
1729666800000,66917.55000000,67000.77000000,66844.00000000,66957.46000000,311.64047000,1729668599999,20860058.39832050,71097,153.16413000,10251893.99124050,0
1729668600000,66957.47000000,66957.54000000,66800.00000000,66852.34000000,298.71155000,1729670399999,19973624.96689900,59892,130.54757000,8728725.65261620,0
1729670400000,66852.33000000,67048.00000000,66700.00000000,66820.00000000,646.31038000,1729672199999,43208512.65428200,84162,352.01710000,23544517.92360670,0
1729672200000,66820.00000000,66852.43000000,66415.62000000,66530.00000000,787.48357000,1729673999999,52449224.27244860,96487,247.22792000,16469009.22000540,0
1729674000000,66530.00000000,66602.35000000,66200.00000000,66352.01000000,855.04156000,1729675799999,56747792.93886460,132135,395.11402000,26226190.65172680,0
1729675800000,66352.00000000,66578.50000000,66352.00000000,66516.00000000,545.98099000,1729677599999,36306876.40080830,82236,313.53923000,20848744.11980600,0
1729677600000,66515.99000000,66643.50000000,66484.93000000,66621.04000000,532.68742000,1729679399999,35450028.26034250,55998,164.96452000,10980282.56994750,0
1729679400000,66621.03000000,66640.00000000,66397.37000000,66398.19000000,366.18128000,1729681199999,24347602.25688950,52863,114.42792000,7608515.36747150,0
1729681200000,66398.18000000,66554.00000000,66398.18000000,66546.31000000,296.53847000,1729682999999,19717425.64305930,44160,148.88187000,9898563.48066240,0
1729683000000,66546.30000000,66600.00000000,66276.04000000,66414.00000000,647.93976000,1729684799999,43039673.11708610,60297,238.15415000,15818426.72509790,0
1729684800000,66414.00000000,66500.00000000,66190.67000000,66239.99000000,929.07140000,1729686599999,61640865.49342030,99764,338.95208000,22493568.99828970,0
1729686600000,66239.99000000,66512.11000000,66105.00000000,66416.72000000,786.71642000,1729688399999,52191661.46347900,85882,391.54331000,25980658.90786790,0
1729688400000,66416.72000000,66548.00000000,66340.40000000,66546.00000000,295.72620000,1729690199999,19650663.59590620,56751,147.36649000,9795230.41586020,0
1729690200000,66546.00000000,66910.15000000,66409.09000000,66800.00000000,918.74600000,1729691999999,61259010.41714780,174547,514.46027000,34308305.30132960,0
1729692000000,66799.99000000,66833.31000000,66473.24000000,66728.21000000,757.13256000,1729693799999,50463738.15200110,147955,391.57001000,26106266.06839490,0
1729693800000,66728.21000000,66878.79000000,66433.00000000,66490.00000000,463.99421000,1729695599999,30935674.06810640,92018,214.76318000,14323378.09518250,0
1729695600000,66489.99000000,66492.00000000,66102.48000000,66144.44000000,961.21042000,1729697399999,63717717.05715540,161088,427.63648000,28344940.58116270,0
1729697400000,66144.44000000,66250.00000000,65923.01000000,66223.44000000,1442.85890000,1729699199999,95337897.83054090,171134,663.50380000,43855530.07240660,0
1729699200000,66223.45000000,66288.00000000,65880.00000000,65898.01000000,976.80503000,1729700999999,64504603.68018980,166065,482.48490000,31870923.51415340,0
1729701000000,65898.00000000,66124.00000000,65801.00000000,65878.02000000,919.51468000,1729702799999,60638253.51459390,187437,429.08051000,28298063.12533380,0
1729702800000,65878.02000000,65989.97000000,65637.00000000,65927.02000000,1171.24653000,1729704599999,77039185.61966800,152393,547.40608000,36007104.96190860,0
1729704600000,65927.02000000,65927.02000000,65681.11000000,65723.32000000,505.14364000,1729706399999,33228139.63875500,97222,244.21666000,16064084.70408360,0
1729706400000,65723.31000000,65757.58000000,65260.00000000,65626.22000000,1790.36513000,1729708199999,117219050.65103740,185611,787.25110000,51543067.47793550,0
1729708200000,65626.22000000,66070.26000000,65594.00000000,66057.79000000,715.88389000,1729709999999,47144497.12957970,118615,449.27938000,29589135.08759130,0
1729710000000,66057.78000000,66376.00000000,65872.00000000,66232.67000000,733.92440000,1729711799999,48503397.41380390,116726,364.84821000,24116679.61622580,0
1729711800000,66232.67000000,66573.58000000,66117.86000000,66472.00000000,934.79189000,1729713599999,62055576.36873120,118070,514.94533000,34187771.41839370,0
1729713600000,66472.00000000,66542.89000000,66338.99000000,66425.44000000,389.29083000,1729715399999,25858444.52798990,47414,178.64565000,11868026.18159820,0
1729715400000,66425.45000000,66680.00000000,66425.45000000,66669.00000000,338.17456000,1729717199999,22521179.80361430,46306,192.49234000,12818142.32100200,0
1729717200000,66668.99000000,66683.34000000,66459.05000000,66537.19000000,195.61299000,1729718999999,13018864.72225510,34180,70.64272000,4701142.03790400,0
1729719000000,66537.19000000,66537.20000000,66362.15000000,66414.01000000,176.60580000,1729720799999,11733055.37340680,27423,65.69474000,4364037.47379910,0
1729720800000,66414.00000000,66570.00000000,66351.58000000,66377.99000000,269.19533000,1729722599999,17895211.52547770,46558,85.82314000,5705052.14099060,0
1729722600000,66378.00000000,66575.76000000,66351.58000000,66472.96000000,193.16305000,1729724399999,12840776.20955010,30420,87.79343000,5835574.39790650,0
1729724400000,66472.95000000,66727.27000000,66460.00000000,66700.00000000,307.48206000,1729726199999,20482788.21963700,41631,180.48294000,12022061.64640560,0
1729726200000,66699.99000000,66807.37000000,66648.23000000,66668.65000000,282.32688000,1729727999999,18840861.65468190,35238,151.81494000,10131984.96112880,0
1729728000000,66668.65000000,66698.74000000,66510.00000000,66579.99000000,265.63228000,1729729799999,17688673.67729980,47885,110.67162000,7369164.87717830,0
1729729800000,66579.99000000,67476.11000000,66560.00000000,67432.01000000,1067.94050000,1729731599999,71652056.68512010,136997,754.02566000,50586898.96246260,0
1729731600000,67432.00000000,67612.12000000,67213.13000000,67270.00000000,960.32663000,1729733399999,64779240.14511470,138286,508.10850000,34280473.25661030,0
1729733400000,67270.00000000,67299.62000000,67058.03000000,67268.17000000,479.66773000,1729735199999,32222724.11711060,81943,217.83019000,14635621.47754480,0
1729735200000,67268.17000000,67406.00000000,67157.09000000,67391.51000000,359.48806000,1729736999999,24197706.60828770,88211,160.98894000,10836279.50426470,0
1729737000000,67391.51000000,67507.60000000,67254.21000000,67459.63000000,429.63335000,1729738799999,28948618.44162220,72689,200.60029000,13519340.99551120,0
1729738800000,67459.63000000,67474.29000000,67304.17000000,67410.83000000,312.60939000,1729740599999,21067409.82076000,54116,92.59025000,6239535.11209760,0
1729740600000,67410.83000000,67410.83000000,67213.15000000,67213.16000000,193.83468000,1729742399999,13045358.32118370,33326,54.00266000,3634104.46955660,0
1729742400000,67213.16000000,67350.00000000,67210.26000000,67337.54000000,282.87237000,1729744199999,19032245.94319170,31283,143.77344000,9672377.60857830,0
1729744200000,67337.54000000,67442.33000000,67280.00000000,67382.19000000,263.38075000,1729745999999,17739173.06685290,34192,127.77811000,8607398.49218160,0
1729746000000,67382.20000000,67479.55000000,67354.31000000,67383.99000000,239.00738000,1729747799999,16113483.57627100,30484,121.76852000,8208658.27411660,0
1729747800000,67384.00000000,67439.65000000,67353.14000000,67364.00000000,164.42717000,1729749599999,11080167.76749470,28576,66.56867000,4485794.84517260,0
1729749600000,67364.01000000,67475.00000000,67361.36000000,67400.00000000,227.12603000,1729751399999,15314601.96385340,31906,77.57227000,5230372.28571810,0
1729751400000,67400.00000000,67457.70000000,67117.78000000,67119.99000000,414.11039000,1729753199999,27875290.28894090,50041,172.29613000,11603878.58249020,0
1729753200000,67119.99000000,67321.16000000,67087.80000000,67270.68000000,280.59529000,1729754999999,18856716.60782570,63982,150.38575000,10104918.22872150,0
1729755000000,67270.67000000,67310.45000000,67068.75000000,67123.08000000,296.72714000,1729756799999,19939091.26516790,54298,102.51753000,6889182.90471190,0
1729756800000,67123.09000000,67260.61000000,67052.09000000,67146.03000000,261.19024000,1729758599999,17545073.12286530,42687,147.94232000,9938685.34566830,0
1729758600000,67146.02000000,67230.00000000,66850.00000000,66852.87000000,372.35921000,1729760399999,24945969.60445830,82582,127.24515000,8525485.42909730,0
1729760400000,66852.88000000,66987.01000000,66700.00000000,66974.00000000,694.15226000,1729762199999,46406588.88463130,105970,239.97829000,16051175.68980760,0
1729762200000,66974.00000000,67005.61000000,66758.62000000,66876.00000000,442.63665000,1729763999999,29600814.40029830,64716,113.85473000,7613512.49272860,0
1729764000000,66875.99000000,67060.61000000,66852.04000000,67014.01000000,520.54049000,1729765799999,34844251.15438510,46557,151.78599000,10161493.35512390,0
1729765800000,67014.00000000,67123.00000000,66929.50000000,66999.99000000,559.21837000,1729767599999,37478861.53418950,59803,255.30083000,17108997.20232020,0
1729767600000,67000.00000000,67158.58000000,66989.92000000,67158.58000000,243.48203000,1729769399999,16326567.01691260,46345,106.43883000,7137911.57356810,0
1729769400000,67158.58000000,67322.26000000,67154.94000000,67285.99000000,533.99604000,1729771199999,35911415.93638400,67081,194.00023000,13046701.75300670,0
1729771200000,67286.00000000,67500.00000000,67262.00000000,67332.00000000,384.93870000,1729772999999,25937289.54405950,84600,218.96810000,14753604.37547050,0
1729773000000,67332.00000000,67612.48000000,67280.00000000,67517.75000000,537.01256000,1729774799999,36221086.59844040,73096,324.70936000,21903875.10127660,0
1729774800000,67517.76000000,67752.64000000,67450.00000000,67591.98000000,727.08281000,1729776599999,49177232.96335830,142849,422.33271000,28565833.55302330,0
1729776600000,67591.98000000,67998.00000000,67488.99000000,67905.99000000,1173.46163000,1729778399999,79528898.15081730,223719,621.76995000,42146342.18280400,0
1729778400000,67906.00000000,67969.70000000,67529.18000000,67571.99000000,807.23465000,1729780199999,54660820.27204910,195472,305.57752000,20694537.68758480,0
1729780200000,67571.99000000,67980.00000000,67561.50000000,67786.27000000,683.35831000,1729781999999,46324879.83964200,156243,369.65179000,25056449.27691070,0
1729782000000,67786.27000000,67950.00000000,67600.00000000,67721.82000000,512.63862000,1729783799999,34756587.51878310,134733,254.99992000,17289627.93400630,0
1729783800000,67721.82000000,67972.00000000,67620.00000000,67701.22000000,730.96426000,1729785599999,49540026.17555650,121029,499.53449000,33856443.28675550,0
1729785600000,67701.21000000,67789.83000000,67350.01000000,67658.01000000,594.26130000,1729787399999,40150333.03063850,128585,330.42199000,22334329.48288200,0
1729787400000,67658.01000000,67793.34000000,67560.00000000,67574.14000000,294.32123000,1729789199999,19921566.08012840,73645,145.15710000,9826075.96445910,0
1729789200000,67574.15000000,67649.84000000,67460.00000000,67596.01000000,354.01097000,1729790999999,23919405.21365630,74650,221.93534000,14996333.16870590,0
1729791000000,67596.00000000,67859.50000000,67580.01000000,67653.44000000,435.35639000,1729792799999,29491253.21949660,64921,299.41194000,20282257.43611880,0
1729792800000,67653.45000000,67958.00000000,67627.50000000,67846.00000000,427.38160000,1729794599999,28991387.88329780,66054,258.31407000,17520569.89335230,0
1729794600000,67845.99000000,67908.00000000,67704.01000000,67832.00000000,260.41958000,1729796399999,17654160.05215550,54182,135.21303000,9166477.25694890,0
1729796400000,67831.99000000,68131.89000000,67732.54000000,68094.00000000,602.07414000,1729798199999,40905382.65766210,69617,425.12100000,28885021.12249230,0
1729798200000,68094.00000000,68323.00000000,68040.18000000,68309.79000000,1050.37273000,1729799999999,71656334.17425100,113097,618.53451000,42196822.46299070,0
1729800000000,68309.79000000,68341.64000000,68130.00000000,68130.00000000,560.63471000,1729801799999,38241020.64115400,60495,355.10654000,24221028.32336840,0
1729801800000,68130.01000000,68250.00000000,67978.04000000,68196.00000000,385.40770000,1729803599999,26252486.44123880,50784,172.95901000,11785660.01743090,0
1729803600000,68196.00000000,68850.00000000,68196.00000000,68612.00000000,842.29712000,1729805399999,57748235.29394960,138757,503.10496000,34482644.76068610,0
1729805400000,68612.00000000,68667.94000000,68306.06000000,68348.01000000,356.32717000,1729807199999,24389756.96556110,63470,131.47107000,8999273.19655200,0
1729807200000,68348.00000000,68557.99000000,68333.33000000,68376.37000000,323.79009000,1729808999999,22168658.59442100,74144,171.52934000,11743969.95586070,0
1729809000000,68376.38000000,68390.31000000,68183.78000000,68183.78000000,239.53642000,1729810799999,16350936.32641860,61121,111.59660000,7617530.34336940,0
1729810800000,68183.78000000,68264.97000000,68105.78000000,68132.09000000,265.77201000,1729812599999,18126462.14412490,39648,114.82713000,7832357.61494070,0
1729812600000,68132.09000000,68241.99000000,68055.75000000,68198.28000000,176.22964000,1729814399999,12010021.18185620,38595,92.31277000,6291369.40851850,0
1729814400000,68198.27000000,68286.56000000,68130.00000000,68150.37000000,225.33789000,1729816199999,15369554.49683870,64678,96.79388000,6602312.59713040,0
1729816200000,68150.36000000,68157.69000000,67903.00000000,67989.27000000,377.99676000,1729817999999,25706822.38624330,76833,153.64066000,10446775.21768080,0
1729818000000,67989.26000000,68010.01000000,67855.00000000,68010.01000000,255.21355000,1729819799999,17333380.34143070,53432,116.77078000,7931221.81547020,0
1729819800000,68010.01000000,68010.01000000,67845.01000000,67969.70000000,253.12403000,1729821599999,17189938.53425020,46614,98.36265000,6679856.55174840,0
1729821600000,67969.70000000,68074.00000000,67836.00000000,67967.78000000,251.56307000,1729823399999,17094563.42152730,51953,102.06373000,6936225.59829230,0
1729823400000,67967.79000000,68080.00000000,67964.00000000,68066.99000000,226.48732000,1729825199999,15407361.61303920,31292,110.63346000,7526174.34925050,0
1729825200000,68066.99000000,68234.34000000,68066.99000000,68176.02000000,281.25828000,1729826999999,19167499.33996010,34184,125.40041000,8545814.75347090,0
1729827000000,68176.02000000,68176.03000000,67989.55000000,68008.00000000,232.48698000,1729828799999,15824672.39086810,34537,70.50057000,4799813.85264700,0
1729828800000,68007.99000000,68045.36000000,67710.00000000,67713.19000000,429.97177000,1729830599999,29183206.19964350,64847,127.35933000,8643717.80582630,0
1729830600000,67713.20000000,67835.22000000,67691.44000000,67744.00000000,327.87508000,1729832399999,22216727.91336000,48601,134.37571000,9105543.60299330,0
1729832400000,67744.01000000,67758.31000000,67574.92000000,67758.30000000,365.62614000,1729834199999,24750150.27410300,42455,133.55367000,9042863.58059460,0
1729834200000,67758.30000000,67875.08000000,67743.31000000,67757.21000000,322.64817000,1729835999999,21875469.77336450,26835,146.88538000,9960471.14809260,0
1729836000000,67757.21000000,67860.00000000,67690.00000000,67745.77000000,283.35170000,1729837799999,19205780.09970190,34320,137.60530000,9327889.61698280,0
1729837800000,67745.76000000,67768.23000000,67596.92000000,67646.21000000,271.71132000,1729839599999,18380950.54503320,36707,134.39228000,9090585.34602640,0
1729839600000,67646.21000000,67727.30000000,67259.52000000,67303.04000000,738.98711000,1729841399999,49872705.42446200,79521,295.99715000,19984184.67256920,0
1729841400000,67303.03000000,67531.97000000,67250.00000000,67531.97000000,499.07683000,1729843199999,33647083.19345500,52732,278.37271000,18767849.05962400,0
1729843200000,67531.96000000,67631.19000000,67286.28000000,67603.99000000,514.53659000,1729844999999,34709906.58988810,57917,298.43470000,20136410.14248760,0
1729845000000,67604.00000000,67757.58000000,67599.61000000,67658.50000000,416.98983000,1729846799999,28222144.49741640,66395,170.34300000,11529395.85630250,0
1729846800000,67658.49000000,67763.28000000,67594.00000000,67641.64000000,451.42982000,1729848599999,30550439.04673150,69501,160.64168000,10870701.54006470,0
1729848600000,67641.64000000,67878.00000000,67524.91000000,67837.28000000,558.88457000,1729850399999,37819699.07235310,63990,314.02008000,21254839.26341600,0
1729850400000,67837.29000000,67863.29000000,67678.00000000,67852.46000000,251.83442000,1729852199999,17069438.08446170,39584,129.70868000,8792054.30056630,0
1729852200000,67852.46000000,67878.76000000,67782.00000000,67855.23000000,204.72086000,1729853999999,13888589.25729600,47387,93.15714000,6319870.45100220,0
1729854000000,67855.23000000,68045.46000000,67801.21000000,67986.01000000,636.50733000,1729855799999,43244727.44287100,71555,473.50397000,32170132.10478720,0
1729855800000,67986.00000000,68183.78000000,67935.35000000,68105.79000000,397.69192000,1729857599999,27074567.33079080,71303,246.09955000,16753990.46719040,0
1729857600000,68105.79000000,68294.92000000,67959.68000000,68076.00000000,448.14566000,1729859399999,30533444.15759960,69719,198.87196000,13553241.48739820,0
1729859400000,68076.00000000,68200.00000000,68024.00000000,68061.90000000,210.16711000,1729861199999,14310039.55229950,59937,89.97654000,6126650.62592400,0
1729861200000,68061.89000000,68156.00000000,67946.00000000,68009.24000000,273.15706000,1729862999999,18586966.36176110,59449,110.09226000,7491713.19511180,0
1729863000000,68009.25000000,68427.62000000,67737.61000000,68334.00000000,945.44571000,1729864799999,64350747.96994590,178494,476.22067000,32416123.79821660,0
1729864800000,68334.01000000,68740.00000000,68140.00000000,68676.01000000,1144.54975000,1729866599999,78381472.90807990,237231,649.14208000,44452404.51716790,0
1729866600000,68676.01000000,68771.49000000,68240.00000000,68311.31000000,896.72199000,1729868399999,61403963.93722780,179077,395.21775000,27060680.74972720,0
1729868400000,68311.30000000,68543.30000000,68282.00000000,68294.92000000,873.46652000,1729870199999,59793796.03234710,154196,437.71801000,29963153.93816090,0
1729870200000,68294.92000000,68347.97000000,67429.87000000,67690.01000000,1272.14703000,1729871999999,86330921.98047460,253705,501.76352000,34037152.55623410,0
1729872000000,67690.01000000,67890.52000000,67355.00000000,67606.06000000,1125.15829000,1729873799999,76119471.03130120,198245,538.88001000,36469343.86736850,0
1729873800000,67606.06000000,67861.65000000,67511.11000000,67670.00000000,536.23773000,1729875599999,36296326.90224020,145339,282.91442000,19151850.07968380,0
1729875600000,67669.99000000,67814.00000000,67367.25000000,67418.01000000,659.66609000,1729877399999,44563771.83528060,151925,258.89548000,17491543.42548890,0
1729877400000,67418.00000000,67493.75000000,66770.70000000,66836.01000000,1843.85394000,1729879199999,123701750.02753850,219707,662.98192000,44492971.50771160,0
1729879200000,66836.00000000,67522.00000000,66006.60000000,67399.99000000,4966.06037000,1729880999999,331216045.33743790,499233,2302.46984000,153693957.45711560,0
1729881000000,67399.99000000,67585.87000000,66997.85000000,67026.61000000,1160.62014000,1729882799999,78169781.38498760,173718,481.00051000,32408393.08165060,0
1729882800000,67026.62000000,67237.01000000,66618.58000000,66933.99000000,1895.74521000,1729884599999,126883101.72165290,246399,989.10376000,66197991.81082650,0
1729884600000,66933.99000000,67106.30000000,66802.35000000,66850.00000000,632.21985000,1729886399999,42353031.41635960,151869,339.36676000,22739312.26207510,0
1729886400000,66849.99000000,66952.52000000,66620.38000000,66910.18000000,596.54826000,1729888199999,39855340.29611860,112125,309.23388000,20662986.35194560,0
1729888200000,66910.18000000,67034.36000000,66728.00000000,66937.99000000,460.27639000,1729889999999,30777143.66384600,125578,205.69511000,13756887.31823370,0
1729890000000,66938.00000000,67240.00000000,66938.00000000,67163.52000000,290.33297000,1729891799999,19473968.36791410,71913,179.30533000,12027709.12007640,0
1729891800000,67163.51000000,67297.90000000,67037.69000000,67297.90000000,192.20892000,1729893599999,12911769.63531670,39018,94.10963000,6323785.24358590,0
1729893600000,67297.89000000,67392.52000000,67196.26000000,67207.68000000,197.15719000,1729895399999,13270157.71815500,57523,101.17609000,6810327.89357260,0
1729895400000,67207.67000000,67272.73000000,66618.01000000,66626.42000000,463.29610000,1729897199999,31004015.28518510,81684,167.24749000,11189143.69137220,0
1729897200000,66626.43000000,66729.60000000,65596.29000000,65835.68000000,3151.73504000,1729898999999,208068093.31155170,347226,1296.49383000,85575138.65806000,0
1729899000000,65835.67000000,66800.00000000,65740.00000000,66698.33000000,1469.48259000,1729900799999,97506937.18954340,252110,814.53868000,54036302.82403930,0
1729900800000,66698.32000000,66817.15000000,66546.67000000,66773.99000000,825.71720000,1729902599999,55067386.16769560,197448,436.42987000,29106121.02410040,0
1729902600000,66773.99000000,66859.76000000,66659.90000000,66736.00000000,525.59742000,1729904399999,35094147.22369960,111127,266.41576000,17789943.25203580,0
1729904400000,66736.00000000,66816.00000000,66546.72000000,66764.65000000,435.60384000,1729906199999,29039183.71616380,89545,236.31602000,15753993.09159620,0
1729906200000,66764.65000000,66770.00000000,66543.46000000,66711.99000000,314.56623000,1729907999999,20972399.43601430,76429,148.77952000,9920665.38176660,0
1729908000000,66711.99000000,66796.00000000,66439.90000000,66740.15000000,376.73063000,1729909799999,25097767.93514290,79520,183.55697000,12232376.69481200,0
1729909800000,66740.14000000,67050.20000000,66632.00000000,66847.18000000,631.54045000,1729911599999,42268548.94925580,111489,350.07581000,23430899.30954380,0
1729911600000,66847.19000000,66971.53000000,66700.00000000,66950.96000000,423.53673000,1729913399999,28299223.86820490,67923,204.62589000,13674350.07398910,0
1729913400000,66950.96000000,66988.00000000,66894.00000000,66914.00000000,151.71298000,1729915199999,10155347.58605720,46442,69.63221000,4661052.75778500,0
1729915200000,66914.00000000,66994.31000000,66784.26000000,66956.57000000,283.70340000,1729916999999,18983426.65084660,43787,128.08530000,8572803.01950430,0
1729917000000,66956.57000000,66966.00000000,66894.00000000,66948.07000000,112.64370000,1729918799999,7539496.68796610,32689,36.52474000,2444823.72441110,0
1729918800000,66948.06000000,67181.82000000,66944.00000000,67147.98000000,291.21389000,1729920599999,19529255.51674730,49771,167.41373000,11227292.14468870,0
1729920600000,67147.98000000,67223.92000000,67119.44000000,67132.00000000,254.43586000,1729922399999,17089084.95141840,42141,133.06886000,8937613.65755710,0
1729922400000,67131.99000000,67188.75000000,67047.54000000,67123.98000000,165.11644000,1729924199999,11081424.87996500,36903,57.46035000,3856546.91756420,0
1729924200000,67123.98000000,67240.02000000,67119.46000000,67170.03000000,171.79906000,1729925999999,11541964.40389310,36420,92.52261000,6216219.85070650,0
1729926000000,67170.03000000,67186.00000000,67038.00000000,67038.00000000,188.80695000,1729927799999,12671735.65021780,32662,64.99963000,4362534.59465190,0
1729927800000,67038.00000000,67080.00000000,66995.61000000,67007.99000000,161.14586000,1729929599999,10802230.94714470,36383,64.55826000,4327461.65758750,0
1729929600000,67007.99000000,67144.00000000,66997.52000000,67138.00000000,125.19621000,1729931399999,8397176.90669620,30883,66.04369000,4429821.21489450,0
1729931400000,67138.00000000,67175.31000000,67080.00000000,67134.65000000,93.23545000,1729933199999,6259110.67174660,27766,35.37237000,2374532.13145080,0
1729933200000,67134.65000000,67264.34000000,67090.27000000,67218.69000000,209.60273000,1729934999999,14077332.96988700,43621,109.96442000,7386933.39172200,0
1729935000000,67218.68000000,67221.04000000,67054.75000000,67054.75000000,133.90400000,1729936799999,8989473.06108480,31092,41.98786000,2819060.67916280,0
